gsm,title,characteristics,cell_line,treatment,cell_line_matched,norm_key,Sample,Molecular Subtype,GI50
GSM1160871,PEO1(-),"['cell line: PEO1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",PEO1,control,PEO1,PEO1,,,
GSM1160872,PEO1(+),"['cell line: PEO1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",PEO1,cisplatin,PEO1,PEO1,,,
GSM1160873,RMG-I(-),"['cell line: RMG-I', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",RMG-I,control,RMG-I,RMGI,RMG-I,Epi-A,2.634e-05
GSM1160874,RMG-I(+),"['cell line: RMG-I', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",RMG-I,cisplatin,RMG-I,RMGI,RMG-I,Epi-A,2.634e-05
GSM1160875,RMG-II(-),"['cell line: RMG-II', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",RMG-II,control,RMG-II,RMGII,RMG-II,Epi-A,3.179e-05
GSM1160876,RMG-II(+),"['cell line: RMG-II', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",RMG-II,cisplatin,RMG-II,RMGII,RMG-II,Epi-A,3.179e-05
GSM1160877,SKOV-4(-),"['cell line: SKOV-4', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",SKOV-4,control,SKOV-4,SKOV4,,,
GSM1160878,SKOV-4(+),"['cell line: SKOV-4', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",SKOV-4,cisplatin,SKOV-4,SKOV4,,,
GSM1160879,SKOV-3-(1),"['cell line: SKOV-3', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",SKOV-3,control,SKOV-3,SKOV3,,,
GSM1160880,SKOV-3-(2),"['cell line: SKOV-3', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",SKOV-3,control,SKOV-3,SKOV3,,,
GSM1160881,SKOV-3(+),"['cell line: SKOV-3', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",SKOV-3,cisplatin,SKOV-3,SKOV3,,,
GSM1160882,SKOV-6(-),"['cell line: SKOV-6', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",SKOV-6,control,SKOV-6,SKOV6,,,
GSM1160883,SKOV-6(+),"['cell line: SKOV-6', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",SKOV-6,cisplatin,SKOV-6,SKOV6,,,
GSM1160884,SKOV-8(-),"['cell line: SKOV-8', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",SKOV-8,control,SKOV-8,SKOV8,,,
GSM1160885,SKOV-8(+),"['cell line: SKOV-8', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",SKOV-8,cisplatin,SKOV-8,SKOV8,,,
GSM1160886,TAYA(-),"['cell line: TAYA', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",TAYA,control,TAYA,TAYA,TAYA,Epi-A,2.869e-05
GSM1160887,TAYA(+),"['cell line: TAYA', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",TAYA,cisplatin,TAYA,TAYA,TAYA,Epi-A,2.869e-05
GSM1160888,TOV-112D(-),"['cell line: TOV-112D', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",TOV-112D,control,TOV-112D,TOV112D,TOV-112D,Stem-A,5.98e-06
GSM1160889,TOV-112D(+),"['cell line: TOV-112D', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",TOV-112D,cisplatin,TOV-112D,TOV112D,TOV-112D,Stem-A,5.98e-06
GSM1160890,TOV-21G(-),"['cell line: TOV-21G', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",TOV-21G,control,TOV-21G,TOV21G,,,
GSM1160891,TOV-21G(+),"['cell line: TOV-21G', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",TOV-21G,cisplatin,TOV-21G,TOV21G,,,
GSM1160892,UWB1.289(-),"['cell line: UWB1.289', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",UWB1.289,control,UWB1.289,UWB1.289,UWB1.289,Epi-A,1.606e-05
GSM1160893,UWB1.289(+),"['cell line: UWB1.289', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",UWB1.289,cisplatin,UWB1.289,UWB1.289,UWB1.289,Epi-A,1.606e-05
