gene,logFC,pval,adj_p,neg_log10_adj_p
MIR22HG,0.7235382000000001,0.004586392080253494,0.7223490723059768,0.14125288062942037
MOCOS,2.006707483333333,0.009108496398030963,0.7553569094779913,0.12184779381310676
MTOR,-0.6301114333333331,0.0072845570094796615,0.7223490723059768,0.14125288062942037
MX1,1.903005750000001,0.00579535854433471,0.7223490723059768,0.14125288062942037
MYADM,0.9366499999999984,0.0072845570094796615,0.7223490723059768,0.14125288062942037
MYO6,1.0021194000000015,0.0028272720911168077,0.7223490723059768,0.14125288062942037
MYOF,2.1722482833333316,0.0072845570094796615,0.7223490723059768,0.14125288062942037
NABP1,1.6063420333333323,0.0036105143123296027,0.7223490723059768,0.14125288062942037
NCALD,-1.252267466666665,0.0072845570094796615,0.7223490723059768,0.14125288062942037
NEGR1,2.1213471166666666,0.00579535854433471,0.7223490723059768,0.14125288062942037
NFKBIA,1.0081580833333348,0.00579535854433471,0.7223490723059768,0.14125288062942037
NIPAL2,1.501207983333333,0.004586392080253494,0.7223490723059768,0.14125288062942037
NIPSNAP3A,0.8968151166666658,0.009108496398030963,0.7553569094779913,0.12184779381310676
NMI,2.837812500000001,0.00043963875262656454,0.7223490723059768,0.14125288062942037
NPY1R,0.9462299499999998,0.0072845570094796615,0.7223490723059768,0.14125288062942037
NQO1,1.6015385666666653,0.0022022199424970783,0.7223490723059768,0.14125288062942037
OAS1,1.6951089833333342,0.0007685389131627665,0.7223490723059768,0.14125288062942037
OCIAD2,3.353787783333334,0.0013149446697132139,0.7223490723059768,0.14125288062942037
OLFML1,-2.4970149166666666,0.00579535854433471,0.7223490723059768,0.14125288062942037
OSMR,1.7935995499999997,0.0036105143123296027,0.7223490723059768,0.14125288062942037
OXTR,1.2669356000000018,0.0028272720911168077,0.7223490723059768,0.14125288062942037
PALLD,1.2937633500000008,0.009108496398030963,0.7553569094779913,0.12184779381310676
PARP14,1.3986484166666653,0.0036105143123296027,0.7223490723059768,0.14125288062942037
PARP4,0.8396021000000005,0.009108496398030963,0.7553569094779913,0.12184779381310676
PARP9,2.01973525,0.0036105143123296027,0.7223490723059768,0.14125288062942037
PCGF5,1.3303219833333317,0.0072845570094796615,0.7223490723059768,0.14125288062942037
PDE1C,2.698289833333333,0.0072845570094796615,0.7223490723059768,0.14125288062942037
PDE4B,-0.5878962499999982,0.0072845570094796615,0.7223490723059768,0.14125288062942037
PDE9A,-0.8318173999999994,0.004586392080253494,0.7223490723059768,0.14125288062942037
PDGFRL,-1.7214915166666662,0.0072845570094796615,0.7223490723059768,0.14125288062942037
PDP1,1.73490593333333,0.0028272720911168077,0.7223490723059768,0.14125288062942037
PHF11,1.1131681500000008,0.0022022199424970783,0.7223490723059768,0.14125288062942037
PHLDB2,1.8024708333333326,0.009108496398030963,0.7553569094779913,0.12184779381310676
PIFO,-0.7371660166666674,0.004586392080253494,0.7223490723059768,0.14125288062942037
PITPNC1,-1.2274740333333334,0.009108496398030963,0.7553569094779913,0.12184779381310676
